country,candy,sales
DEU,gummy bears,8703059
SAU,peanut butter pops,4893609
ARE,chocolate cookies,7766397
CAN,caramel popcorn,6795136
TUR,lollipops,7085884
TUR,chocolate cookies,8777983
TUR,peanut butter pops,1248992
TUR,gummy bears,3910859
TUR,dark chocolate bar,7235349
FRA,peanut butter pops,2312281
CHN,chocolate cookies,3804240
CHN,chocolate bar,5131463
GBR,lollipops,8708922
USA,butter cookies,8946090
SAU,blueberry bubblegum,3681119
SAU,peanut butter pops,276881
CAN,butter cookies,9646049
DEU,white chocolate bar,1960111
CHN,chocolate bar,1054252
IND,butter cookies,2910199
GBR,butter cookies,8180369
IND,gummy bears,2362218
SAU,caramel popcorn,3374832
CHN,white chocolate bar,826905
ITA,lollipops,2162662
CAN,blueberry bubblegum,6901011
CHN,lollipops,5280682
RUS,blueberry bubblegum,6920407
BRA,blueberry bubblegum,9544954
RUS,caramel popcorn,4089746
FRA,peanut butter pops,2078097
CAN,peanut butter pops,5497212
CAN,caramel popcorn,6149406
DEU,chocolate bar,705569
IND,gummy bears,5922490
SAU,blueberry bubblegum,729140
IND,gummy bears,949130
IND,lollipops,688585
FRA,dark chocolate bar,1642747
USA,caramel popcorn,4504172
FRA,lollipops,1428420
CHN,chocolate cookies,3563838
RUS,gummy bears,963894
DEU,chocolate cookies,771357
BRA,peanut butter pops,3616886
TUR,gummy bears,9635447
BRA,caramel popcorn,1761802
DEU,peanut butter pops,6416701
SAU,peanut butter pops,6596535
USA,chocolate bar,8134438
CHN,dark chocolate bar,9465122
FRA,dark chocolate bar,9687837
GBR,caramel popcorn,5884118
USA,gummy bears,6600969
BRA,gummy bears,8090596
MEX,chocolate cookies,5648438
ARE,white chocolate bar,3550224
USA,blueberry bubblegum,7409346
BRA,lollipops,9629052
CHN,peanut butter pops,7223362
SAU,chocolate bar,5577876
MEX,caramel popcorn,3579469
GBR,chocolate bar,972333
FRA,dark chocolate bar,7171695
DEU,blueberry bubblegum,4375318
IND,chocolate bar,4893983
ITA,peanut butter pops,6717274
FRA,caramel popcorn,7397026
TUR,blueberry bubblegum,7520353
FRA,dark chocolate bar,2962089
SAU,white chocolate bar,538948
DEU,white chocolate bar,7755495
DEU,blueberry bubblegum,7379934
BRA,peanut butter pops,7547313
RUS,butter cookies,6509215
FRA,caramel popcorn,9829663
TUR,gummy bears,905190
ITA,gummy bears,967246
ARE,gummy bears,9111506
FRA,peanut butter pops,3389167
ITA,gummy bears,1283754
RUS,chocolate cookies,5061285
GBR,peanut butter pops,3306827
BRA,blueberry bubblegum,7811495
SAU,gummy bears,4184973
SAU,lollipops,7986758
BRA,peanut butter pops,1028901
FRA,lollipops,7627832
GBR,chocolate cookies,9694430
CAN,blueberry bubblegum,8901373
FRA,blueberry bubblegum,7502467
FRA,caramel popcorn,9200148
FRA,dark chocolate bar,2351628
BRA,dark chocolate bar,2083322
CHN,white chocolate bar,6269176
FRA,chocolate cookies,4446677
DEU,butter cookies,403613
FRA,blueberry bubblegum,8782612
DEU,dark chocolate bar,923320
GBR,caramel popcorn,1831966
