,car_model,year_of_manufacture,price,fuel,Unnamed: 0
0,ritz,2014,5000.0,Petrol,
1,sx4,2013,7089.55,Diesel,
2,ciaz,2017,10820.9,Petrol,
3,wagon r,2011,4253.73,Petrol,
4,swift,2014,6865.67,Diesel,
5,vitara brezza,2018,13805.97,Diesel,
6,ciaz,2015,10074.63,Petrol,
7,s cross,2015,9701.49,Diesel,
8,ciaz,2016,13059.7,Diesel,
9,ciaz,2015,11119.4,Diesel,
10,alto 800,2017,4253.73,Petrol,
11,ciaz,2015,10223.88,Diesel,
12,ciaz,2015,11194.03,Petrol,
13,ertiga,2015,9104.48,Petrol,
14,dzire,2009,3358.21,Petrol,
15,ertiga,2016,11567.16,Diesel,
16,ertiga,2015,10820.9,Diesel,
17,ertiga,2016,11567.16,Diesel,
18,wagon r,2015,4850.75,CNG,
19,sx4,2010,3955.22,Petrol,
20,alto k10,2016,4253.73,Petrol,
21,ignis,2017,7313.43,Petrol,
22,sx4,2011,6567.16,Petrol,
23,alto k10,2014,3731.34,Petrol,
24,wagon r,2013,4328.36,Petrol,
25,swift,2011,4477.61,Petrol,
26,swift,2013,6194.03,Petrol,
27,swift,2017,8955.22,Petrol,
28,alto k10,2010,2910.45,Petrol,
29,ciaz,2015,11119.4,Diesel,
30,ritz,2014,5000.0,Petrol,0.0
31,sx4,2013,7089.55,Diesel,1.0
32,ciaz,2017,10820.9,Petrol,2.0
33,wagon r,2011,4253.73,Petrol,3.0
34,swift,2014,6865.67,Diesel,4.0
35,vitara brezza,2018,13805.97,Diesel,5.0
36,ciaz,2015,10074.63,Petrol,6.0
37,s cross,2015,9701.49,Diesel,7.0
38,ciaz,2016,13059.7,Diesel,8.0
39,ciaz,2015,11119.4,Diesel,9.0
40,alto 800,2017,4253.73,Petrol,10.0
41,ciaz,2015,10223.88,Diesel,11.0
42,ciaz,2015,11194.03,Petrol,12.0
43,ertiga,2015,9104.48,Petrol,13.0
44,dzire,2009,3358.21,Petrol,14.0
45,ertiga,2016,11567.16,Diesel,15.0
46,ertiga,2015,10820.9,Diesel,16.0
47,ertiga,2016,11567.16,Diesel,17.0
48,wagon r,2015,4850.75,CNG,18.0
49,sx4,2010,3955.22,Petrol,19.0
50,alto k10,2016,4253.73,Petrol,20.0
51,ignis,2017,7313.43,Petrol,21.0
52,sx4,2011,6567.16,Petrol,22.0
53,alto k10,2014,3731.34,Petrol,23.0
54,wagon r,2013,4328.36,Petrol,24.0
55,swift,2011,4477.61,Petrol,25.0
56,swift,2013,6194.03,Petrol,26.0
57,swift,2017,8955.22,Petrol,27.0
58,alto k10,2010,2910.45,Petrol,28.0
59,ciaz,2015,11119.4,Diesel,29.0
60,ritz,2012,4626.87,Diesel,30.0
61,ritz,2011,3507.46,Petrol,31.0
62,swift,2014,7388.06,Diesel,32.0
