,physician_id,first_name,last_name,specialty
0,1,Claude,Walls,Internist
1,2,Joshua,Green,Cardiologist
2,3,Miriam,Tregre,General Surgeon
3,4,James,Russo,Obstetrician/Gynecologist
4,5,Scott,Hill,Gastroenterologist
5,6,Tasha,Phillips,Psychiatrist
6,7,Hazel,Patterson,Oncologist
7,8,Mickey,Duval,Pediatrician
8,9,Jon,Nelson,Neurologist
9,10,Monica,Singleton,Orthopaedic Surgeon
10,11,Douglas,Brooks,Respirologist
11,12,Flora,Moore,Cardiovascular Surgeon
12,13,Angelica,Noe,Nuclear Medicine
13,14,Tyrone,Smart,Gerontologist
14,15,Marie,Brinkman,Urologist
15,16,Irene,Brooks,Gastroenterologist
16,17,Mary,Walker,Nuclear Medicine
17,18,Bobbi,Estrada,Gerontologist
18,19,Stephanie,Cohen,Oncologist
19,20,Ralph,Wilson,General Surgeon
20,21,Lisa,Cuddy,Obstetrician/Gynecologist
21,22,Simon,Santiago,Cardiologist
22,23,Heather,Beck,Pediatrician
23,24,Jenny,Pulaski,Neurologist
24,25,Jeanette,Sites,Psychiatrist
25,26,Larry,Miller,Cardiovascular Surgeon
26,27,Donna,Greenwood,Respirologist
