generic_name,min_nutr_score,max_nutr_score,amount
de:Kekse mit Nuss-Nugat-Creme-Füllung,25,25,1
en:Biscuit-snack-with-chocolate-filling,9,9,1
en:Groceries,13,18,2
en:Mandeln,-3,-3,1
en:Nüsse,-3,-3,1
en:Nüsse und Nussprodukte,-3,-3,1
en:Petit-déjeuners,26,26,1
en:Pflanzliche Lebensmittel,-3,-3,1
en:Pflanzliche Lebensmittel und Getränke,-3,-3,1
en:Produits à tartiner,26,26,1
en:Produits à tartiner sucrés,26,26,1
en:Pâtes à tartiner,26,26,1
en:Pâtes à tartiner au chocolat,26,26,1
en:Pâtes à tartiner aux noisettes,26,26,1
en:Pâtes à tartiner aux noisettes et au cacao,26,26,1
en:Rice Noodles,4,4,1
en:agave-syrups,13,13,1
en:almonds,-3,-3,1
en:appetizers,9,9,1
en:artificially-sweetened-beverages,1,1,2
en:bee-products,13,13,1
en:beverages,-4,1,4
en:biscuit-with-milk,9,9,1
en:biscuits,9,25,3
en:biscuits-and-cakes,9,25,3
en:breads,-2,-2,1
en:breakfast-biscuit,9,9,1
en:breakfast-biscuit-with-cereals-fortified-with-vitamins-and-chemical-elements,9,9,1
en:breakfast-biscuit-with-chocolate,9,9,1
en:breakfast-cereals,-3,0,2
en:breakfasts,-3,13,5
en:carbonated-drinks,0,1,3
en:carbonated-mineral-waters,0,0,1
en:carbonated-waters,0,0,1
en:cereals-and-potatoes,-3,4,4
en:cereals-and-their-products,-3,4,3
en:cereals-with-fruits,-3,0,2
en:cheese-spreads,11,14,2
en:cheeses,-2,14,4
en:chips-and-fries,9,9,1
en:chocolate-biscuits,9,9,1
en:colas,1,1,2
en:cold-soups,-4,-4,1
en:condiments,13,18,2
en:cooked-pressed-cheeses,11,11,1
en:cow-cheeses,11,11,1
en:crisps,9,9,1
en:crispy-biscuit-with-reduced-fat-chocolate,9,9,1
en:crispy-biscuits,9,9,1
en:dairies,-2,14,5
en:dairy-desserts,-2,-2,1
en:dairy-substitutes,0,0,1
en:desserts,-2,0,2
en:diet-beverages,1,1,2
en:diet-cola-soft-drink,1,1,2
en:diet-crispy-biscuit,9,9,1
en:diet-sodas,1,1,2
en:dry-biscuits,9,9,1
en:emmentaler,11,11,1
en:farming-products,13,13,1
en:fermented-dairy-desserts,-2,-2,1
en:fermented-foods,-2,14,5
en:fermented-milk-products,-2,14,4
en:filled-biscuits,25,25,1
en:flower-honeys,13,13,1
en:french-cheeses,11,11,1
en:french-emmentaler,11,11,1
en:fresh-foods,-4,-2,2
en:fresh-meals,-4,-4,1
en:fruit-and-vegetable-preserves,13,13,1
en:fruits-and-vegetables-based-foods,-4,-4,1
en:gazpacho,-4,-4,1
en:green-pestos,18,18,1
en:homogenized-milks,0,0,1
en:honeys,13,13,1
en:ketchup,13,13,1
en:meals,-4,-4,1
en:milk-chocolate-biscuits,9,9,1
en:milks,0,0,1
en:mineral-waters,0,0,1
en:mueslis,-3,0,2
en:mueslis-with-fruits,-3,0,2
en:non-alcoholic-beverages,0,0,1
en:non-dairy-desserts,0,0,1
en:non-dairy-fermented-foods,0,0,1
en:non-dairy-yogurts,0,0,1
en:noodles,4,4,1
en:nuts,-3,-3,1
en:nuts-and-their-products,-3,-3,1
en:pastas,4,4,1
en:pestos,18,18,1
en:petit-beurre,20,20,1
en:plain-fermented-dairy-desserts,-2,-2,1
en:plant-based-foods,-4,13,7
en:plant-based-foods-and-beverages,-4,13,8
en:plant-based-spreads,13,13,1
en:refrigerated-foods,-4,-2,2
en:refrigerated-meals,-4,-4,1
en:refrigerated-soups,-4,-4,1
en:salted-spreads,11,14,2
en:salty-snacks,9,9,1
en:salty-snacks-made-from-potato,9,9,1
en:sauces,13,18,2
en:semi-skimmed-milks,0,0,1
en:simple-syrups,13,13,1
en:sliced-breads,-2,-2,1
en:sliced-breads-without-crust,-2,-2,1
en:snacks,9,25,4
en:sodas,1,1,2
en:soups,-4,-4,1
en:soy-milk-yogurts,0,0,1
en:spreads,11,14,4
en:spring-waters,0,0,1
en:sweet-snacks,9,25,3
en:sweet-spreads,13,13,2
en:sweeteners,13,13,2
en:syrups,13,13,1
en:tomato-ketchup,13,13,1
en:tomato-sauces,13,13,1
en:uht-milks,0,0,1
en:unsweetened-beverages,0,0,1
en:vegetable-soups,-4,-4,1
en:vegetables-based-foods,-4,-4,1
en:waters,0,0,1
en:wholemeal-breads,-2,-2,1
en:wholemeal-sliced-breads,-2,-2,1
fr:Alimentaire,20,20,1
fr:fromages-blancs,-2,-2,1
fr:fromages-blancs-natures,-2,-2,1
