,,0
0,0,Child and Adolescent Psychiatry
0,2,Forensic Psychiatry
0,3,Medical Microbiology Pathology
0,7,Anesthesiology
0,8,Addiction Medicine
0,10,Consultation-Liaison Psychiatry/Psychosomatic Medicine
0,12,Adult Reconstructive Orthopaedic Surgery
0,13,Adult Cardiac Anesthesiology
0,14,Neurology
0,16,Complex General Surgical Oncology
0,17,Developmental and Behavioral Pediatrics
0,19,Child Neurology/Pediatric Neurology
0,22,Neurocritical Care
0,24,Cytopathology
0,28,Geriatric Psychiatry
0,30,Addiction Psychiatry
0,35,Dermatopathology
0,60,Molecular Genetic Pathology
0,62,Forensic Pathology
0,67,Clinical Neurophysiology
0,90,Orthopaedic Surgery
0,102,Interventional Radiology
0,122,General Surgery
0,133,Pediatric Urology
0,139,Internal Medicine
0,145,Chemical Pathology
0,162,Orthopaedic Sports Medicine
0,169,Hematopathology/Hematology
0,175,Urology
0,177,Hand Surgery
0,179,Neonatal-Perinatal Medicine
0,180,Pediatrics
0,181,Psychiatry
0,185,Gynecologic Oncology
0,190,Female Pelvic Medicine and Reconstructive Surgery
0,193,Colon and Rectal Surgery
0,195,Pathology
0,196,Pediatric Infectious Disease
0,198,Ophthalmic Plastic and Reconstructive Surgery
0,200,Pediatric Critical Care Medicine
0,207,Obstetrics and Gynecology
0,222,Ophthalmology
0,231,Complex Family Planning
0,245,Clinical Informatics
0,254,Pediatric Gastroenterology
0,273,Pediatric Endocrinology
0,278,Epilepsy
0,305,Endocrinology
0,306,Blood Banking-Transfusion Medicine
0,317,Neuropathology
0,330,Pediatric Hematology-Oncology
0,336,Pediatric Nephrology
0,337,Pediatric Cardiology
0,363,Neurological Surgery
0,392,Adolescent Medicine
0,428,Pain Medicine
0,435,Nephrology
0,452,Pediatric Pulmonology
0,461,Family Medicine/Family Practice
0,470,Geriatric Medicine
0,488,Diagnostic Radiology
0,493,Medical Genetics and Genomics
0,535,Internal Medicine-Pediatrics
0,561,Critical Care Medicine
0,565,Abdominal Imaging Radiology
0,600,Infectious Disease
0,613,Allergy and Immunology
0,633,Emergency Medicine
0,789,Pediatric Surgery
0,810,Orthopaedic Trauma
0,930,Cardiothoracic Radiology
0,0,Family Nurse Practitioner
0,1,Pediatrician
0,2,Physician Assistant
0,3,Naturopathic Doctor
0,5,Internist
0,6,Family Physician
0,9,Nurse Practitioner
0,34,Optometrist
0,44,Ophthalmologist
1,0, Psychiatry
1,3, Pathology
1,7, Regional Anesthesiology and Acute Pain Medicine
1,8, Consultation-Liaison Psychiatry/Psychosomatic Medicine
1,12, Orthopaedic Surgery
1,13, Anesthesiology
1,14, Vascular Neurology
1,16, General Surgery
1,17, Pediatrics
1,19, Neurology
1,29, Pain Medicine
1,40, Neuroradiology
1,66, Pediatric Anesthesiology
1,90, Orthopaedic Surgery of the Spine
1,96, Neuromuscular Medicine
1,102, Diagnostic Radiology
1,122, Surgical Critical Care
1,123, Forensic Psychiatry
1,133, Urology
1,175,
1,185, Obstetrics and Gynecology
1,188, Hospice and Palliative Medicine
1,198, Ophthalmology
1,201, Pediatric Surgery
1,206, Sports Medicine
1,207, Reproductive Endocrinology and Infertility
1,247, Neurocritical Care
1,252, Orthopaedic Trauma
1,288, Pediatric Critical Care Medicine
1,298, Cardiovascular Disease
1,302, Complex General Surgical Oncology
1,305, Diabetes
1,313, Critical Care Medicine
1,318, Internal Medicine
1,368, Transplant Hepatology
1,409, Nephrology
1,422, Plastic Surgery
1,461, Hand Surgery
1,496, Sleep Medicine
1,595, Female Pelvic Medicine and Reconstructive Surgery
1,613, Endocrinology
1,622, Thoracic Surgery/Thoracic and Cardiac Surgery
1,660, Medical Oncology
1,728, Public Health and General Preventive Medicine
1,832, Family Medicine/Family Practice
1,883, Internal Medicine-Pediatrics
1,968, Otolaryngology-Head and Neck Surgery
2,2, Geriatric Psychiatry
2,3, Molecular Genetic Pathology
2,15, Orthopaedic Sports Medicine
2,19, Clinical Neurophysiology
2,67, Epilepsy
2,139, Neuro-Ophthalmology
2,245, Hematology
2,305, and Metabolism
2,353, Gastroenterology
2,428, Physical Medicine and Rehabilitation
2,561, Emergency Medicine
2,565, Cardiothoracic Radiology
2,728, Preventive Medicine
3,930, Musculoskeletal Imaging Radiology
5,606, Osteopathic Neuromusculoskeletal Medicine
