,doctors,Specialities,Locations,Doctor_Urls
0,Teresa C. Chen,Ophthalmology,Boston,https://www.bostonmagazine.com/find-a-doctor/teresa-chen/
1,Suzanne K. Freitag,Ophthalmology,Boston,https://www.bostonmagazine.com/find-a-doctor/suzanne-freitag/
2,Stephen D. Anesi,Ophthalmology,Waltham,https://www.bostonmagazine.com/find-a-doctor/stephen-anesi/
3,Shizuo Mukai,Ophthalmology,Boston,https://www.bostonmagazine.com/find-a-doctor/shizuo-mukai/
4,Roberto Pineda II,Ophthalmology,Boston,https://www.bostonmagazine.com/find-a-doctor/roberto-pineda/
5,Reza Dana,Ophthalmology,Boston,https://www.bostonmagazine.com/find-a-doctor/reza-dana/
6,Peter Y. Chang,Ophthalmology,Waltham,https://www.bostonmagazine.com/find-a-doctor/peter-y-chang/
7,Michael K. Yoon,Ophthalmology,Boston,https://www.bostonmagazine.com/find-a-doctor/michael-yoon/
8,Michael G. Morley,Ophthalmology,Boston,https://www.bostonmagazine.com/find-a-doctor/michael-morley/
9,Michael A. Chang,Ophthalmology,East Weymouth,https://www.bostonmagazine.com/find-a-doctor/michael-chang/
