Disease_Id,Disease_name,Signs_and_symptoms,Diagnosis,Treatment
1,Acinetobacter infections,Blood infection: Fever chills vomiting confusionUrinary tract infection: bloody urine cloudy urinePneumonia: Fever chills coughing,Culture,Supportive care
2,Actinomycosis,Painful abscesses,Histologic findings,Penicillin doxycycline and sulfonamides
3,Adenovirus infection,high fever that lasts 4 to 6 dayspharyngitis (sore throat)conjunctivitis (inflamed eyes usually without pus formation like pink eye)enlargement of the lymph nodes of the neckheadache malaise and weaknessIncubation period of 5 to 9 days,Antigen detection polymerase chain reaction assay virus isolation and serology,Most infections are mild and require no therapy or only symptomatic treatment.
4,African sleeping sickness (African trypanosomiasis),Hemolymphatic phase: Fever lymphadenopathyNeurological phase: Sleep disorders neurological symptoms psychiatric symptoms,Identification of trypanosomes in a sample by microscopic examination,Fexinidazole by mouth or pentamidine by injection for T. b. gambiense.Suramin by injection is used for T. b. rhodesiense
5,AIDS (acquired immunodeficiency syndrome),Opportunistic infections,Antibody test p24 antigen test PCR,Treatment is typically a non-nucleoside reverse transcriptase inhibitor (NNRTI) plus two nucleoside analog reverse transcriptase inhibitors (NRTIs)
6,Amoebiasis,Most are asymptomatic.,Microscopy,Those with symptoms require treatment with an amoebicidal tissue-active agent and a luminal cysticidal agent. Individuals that are asymptomatic only need a luminal cysticidal agent.
7,Anaplasmosis,Fever leukopenia abnormally elevated levels of liver enzymes,indirect immunofluorescence antibody assay for IgG,Tetracycline drugs (including tetracycline chlortetracycline oxytetracycline rolitetracycline doxycycline and minocycline) and imidocarb
8,Angiostrongyliasis,Abdominal pain nausea vomiting and weakness fever central nervous system (CNS) symptoms,Lumbar puncture brain imaging serology,Albendazole
9,Anisakiasis,Severe abdominal pain malnutrition and vomiting,Gastroscopic examination or histopathologic examination,Albendazole
10,Anthrax,boil-like skin lesion that eventually forms an ulcer with a black center (eschar),Culture PCR,Large doses of intravenous and oral antibiotics such as fluoroquinolones (ciprofloxacin) doxycycline erythromycin vancomycin or penicillin
11,Arcanobacterium haemolyticum infection,Head and neck infections pharyngitis and sinusitis,Culture in human blood agar plates,erythromycin (proposed as the first-line drug) clindamycin gentamicin and cephalosporins
12,Argentine hemorrhagic fever,No symptoms found,No diagnosis found,No treatment found
13,Ascariasis,Migrating larvae intestinal blockage and bowel obstruction,Fecal smear,Albendazole mebendazole levamisole and pyrantel pamoate
14,Aspergillosis,Hemoptysis chest pain,Chest X-ray and CT  microscopy by silver stains,Voriconazole and liposomal amphotericin B in combination with surgical debridement
15,Astrovirus infection,Diarrhoea followed by nausea vomiting fever malaise and abdominal pain,Electron microscopy enzyme-immunoassay (ELISA) immunofluorescence and polymerase chain reaction,Supportive care
16,Babesiosis,Fever and hemolytic anemia,Giemsa-stained thin-film blood smear,Atovaquone and azithromycin. In life-threatening cases exchange transfusion is performed.
17,Bacillus cereus infection,Nausea vomiting and diarrhea,Culture,Vancomycin
18,Bacterial meningitis,neck stiffness sudden high fever and altered mental status,Lumbar puncture (contraindicated if there is a mass in the brain or the intracranial pressure is elevated) CT or MRI,Antibiotics
19,Bacterial pneumonia,Fever rigors cough and runny nose chest pain,Sputum Gram stain and culture Chest radiography,Antibiotics
20,Bacterial vaginosis,Increased vaginal discharge that usually smells like fish,Gram stain and whiff test,Metronidazole or clindamycin
21,Bacteroides infection,No symptoms found,No diagnosis found,No treatment found
22,Balantidiasis,Intermittent diarrhea constipation vomiting abdominal pain anorexia weight loss headache colitis and marked fluid loss,microscopic examination of stools or colonoscopy or sigmoidoscopy,Tetracycline metronidazole or iodoquinol
23,Bartonellosis,Carrion's disease trench fever cat-scratch disease bacillary angiomatosis peliosis hepatis chronic bacteremia endocarditis chronic lymphadenopathy and neurological disorders,microscopy serology and PCR,Antibiotics
24,Baylisascaris infection,No symptoms found,No diagnosis found,No treatment found
25,BK virus infection,No symptoms found,No diagnosis found,No treatment found
26,Black piedra,formation of nodules on the scalp moustache and pubic hair,Stain or culture,Antifungal shampoos such as pyrithione zinc formaldehyde and salicylic acid
27,Blastocystosis,abdominal pain itching usually anal itching constipation diarrhea watery or loose stool,microscopic examination of a chemically preserved stool specimen,Lack of scientific study to support the efficacy of any particular treatment
28,Blastomycosis,fever chills arthralgia (joint pain) myalgia (muscle pain) headache and a nonproductive cough,KOH prep cytology or histology,Itraconazole or ketoconazole
29,Bolivian hemorrhagic fever,No symptoms found,No diagnosis found,No treatment found
30,Botulism (and Infant botulism),Double vision drooping of both eyelids loss of facial expression and swallowing problems,Enzyme-linked immunosorbent assays (ELISAs) electrochemiluminescent (ECL) tests,Botulism antitoxin and supportive care
31,Brazilian hemorrhagic fever,No symptoms found,No diagnosis found,No treatment found
32,Brucellosis,fevers sweating (often with characteristic foul moldy smell sometimes likened to wet hay) and migratory arthralgia and myalgia (joint and muscle pain),Culture,Tetracyclines rifampicin and the aminoglycosides streptomycin and gentamicin
33,Bubonic plague,Chills malaise high fever muscle cramps seizures,Culture,Aminoglycosides such as streptomycin and gentamicin tetracyclines (especially doxycycline) and the fluoroquinolone ciprofloxacin
34,Burkholderia infection,No symptoms found,No diagnosis found,No treatment found
35,Buruli ulcer,Swollen bump,real-time PCR,The most widely used antibiotic regimen is once daily oral rifampicin plus twice daily oral clarithromycin.
36,Calicivirus infection (Norovirus and Sapovirus),Vomiting diarrhea stomach pain,No diagnosis found,No treatment found
37,Campylobacteriosis,Fever headache and myalgia followed by diarrhea,Stool culture,Erythromycin can be used in children and tetracycline in adults.
