Id,Cost,Hospital Id,Doctor Id
1,100,1,1
2,350,2,2
3,300,3,3
4,250,4,4
5,250,5,5
6,100,6,6
7,200,7,7
8,200,8,8
9,100,9,9
10,100,10,10
11,700,11,11
12,100,12,12
13,200,13,13
14,350,14,14
15,500,15,15
16,200,16,16
17,100,17,17
18,300,18,18
19,400,19,19
20,150,20,20
21,100,21,21
22,500,22,22
23,200,23,23
24,100,24,24
25,100,25,25
26,100,26,26
27,500,27,27
28,250,28,28
29,100,29,29
30,500,30,30
31,500,31,31
32,500,32,32
33,100,33,33
34,500,34,34
35,300,35,35
36,400,36,36
37,250,37,37
38,300,38,38
39,100,39,39
40,100,40,40
41,250,41,41
42,500,42,42
43,500,43,43
44,300,44,44
45,500,45,45
46,500,46,46
47,200,47,47
48,200,48,48
49,400,49,49
50,200,50,50
51,100,51,51
52,150,52,52
53,650,53,53
54,100,54,54
55,300,55,55
56,600,56,56
57,200,57,57
58,400,58,58
59,500,59,59
60,500,60,60
61,500,61,61
62,200,62,62
63,200,63,63
64,150,64,64
65,200,65,65
66,200,66,66
67,500,67,67
68,500,68,68
69,150,69,69
70,500,70,70
71,300,71,71
72,300,72,72
73,100,73,73
74,100,74,74
75,350,75,75
76,500,76,76
77,100,77,77
78,300,78,78
79,600,79,79
80,200,80,80
81,100,81,81
82,250,82,82
83,50,83,83
84,100,84,84
85,200,85,85
86,150,86,86
87,500,87,87
88,700,88,88
89,250,89,89
90,50,90,90
91,50,91,91
92,100,92,92
93,250,93,93
94,200,94,94
95,500,95,95
96,500,96,96
97,700,97,97
98,200,98,98
99,100,99,99
100,200,100,100
101,500,101,101
102,200,102,102
103,200,103,103
104,100,104,104
105,300,105,105
106,100,106,106
107,350,107,107
108,300,108,108
109,300,109,109
110,250,110,110
111,100,111,111
112,100,112,112
113,500,113,113
114,200,114,114
115,250,115,115
116,500,116,116
117,200,117,117
118,100,118,118
119,250,119,119
120,500,120,120
121,150,121,121
122,100,122,122
123,500,123,123
124,200,124,124
125,200,125,125
126,600,126,126
127,300,127,127
128,300,128,128
129,800,129,129
130,300,130,130
131,100,131,131
132,800,132,132
133,200,133,133
134,350,134,134
135,100,135,135
136,200,136,136
137,300,137,137
138,500,138,138
139,400,139,139
140,100,140,140
141,500,141,141
142,750,142,142
143,800,143,143
144,200,144,144
145,250,145,145
146,300,146,146
147,800,147,147
148,300,148,148
149,150,149,149
150,400,150,150
151,100,151,151
152,300,152,152
153,200,153,153
154,100,154,154
155,300,155,155
156,500,156,156
157,500,157,157
158,200,158,158
159,300,159,159
160,100,160,160
161,600,161,161
162,100,162,162
163,300,163,163
164,150,164,164
165,400,165,165
166,500,166,166
167,300,167,167
168,200,168,168
169,100,169,169
170,400,170,170
171,200,171,171
172,200,172,172
173,300,173,173
174,100,174,174
175,200,175,175
176,500,176,176
177,100,177,177
178,300,178,178
179,400,179,179
180,300,180,180
181,500,181,181
182,150,182,182
183,600,183,183
184,100,184,184
185,100,185,185
186,100,186,186
187,100,187,187
188,300,188,188
189,800,189,189
190,500,190,190
191,250,191,191
192,200,192,192
193,500,193,193
194,500,194,194
195,300,195,195
196,600,196,196
197,450,197,197
198,300,198,198
199,400,199,199
200,100,200,200
201,250,201,201
202,250,202,202
203,700,203,203
204,150,204,204
205,300,205,205
206,500,206,206
207,80,207,207
208,300,208,208
209,50,209,209
210,100,210,210
211,100,211,211
212,200,212,212
213,500,213,213
214,100,214,214
215,50,215,215
216,450,216,216
217,300,217,217
218,250,218,218
219,100,219,219
220,100,220,220
221,200,221,221
222,300,222,222
223,800,223,223
224,100,224,224
225,100,225,225
226,400,226,226
227,700,227,227
228,100,228,228
229,100,229,229
230,600,230,230
231,200,231,231
232,200,232,232
233,100,233,233
234,200,234,234
235,500,235,235
236,200,236,236
237,500,237,237
238,800,238,238
239,400,239,239
240,500,240,240
241,200,241,241
242,600,242,242
243,500,243,243
244,500,244,244
245,100,245,245
246,200,246,246
247,100,247,247
248,500,248,248
249,250,249,249
250,200,250,250
251,60,251,251
252,500,252,252
253,100,253,253
254,600,254,254
255,200,255,255
256,300,256,256
257,350,257,257
258,100,258,258
259,400,259,259
260,300,260,260
261,300,261,261
262,400,262,262
263,600,263,263
264,300,264,264
265,300,265,265
266,500,266,266
267,200,267,267
268,500,268,268
269,200,269,269
270,200,270,270
271,300,271,271
272,550,272,272
273,550,273,273
274,500,274,274
275,200,275,275
276,900,276,276
277,500,277,277
278,100,278,278
279,700,279,279
280,150,280,280
281,200,281,281
282,700,282,282
283,300,283,283
284,150,284,284
285,150,285,285
286,400,286,286
287,300,287,287
288,150,288,288
289,500,289,289
290,100,290,290
291,200,291,291
292,500,292,292
293,200,293,293
294,950,294,294
295,500,295,295
296,750,296,296
297,200,297,297
298,100,298,298
299,200,299,299
300,,300,300
