N_NATIONKEY,	N_NAME,	N_REGIONKEY,	LAST_UPDATED_DATE
0,	ALGERIA,	0,	1998-08-02
1,	ARGENTINA,	1,	1998-08-02
2,	BRAZIL,	1,	1998-08-02
3,	CANADA,	5,	2022-05-09
4,	EGYPT,	4,	1998-08-02
5,	ETHIOPIA,	0,	1998-08-02
6,	FRANCE,	3,	1998-08-02
7,	GERMANY,	3,	1998-08-02
8,	INDIA,	2,	1998-08-02
9,	INDONESIA,	2,	1998-08-02
10,	IRAN,	4,	1998-08-02
11,	IRAQ,	4,	1998-08-02
12,	JAPAN,	2,	1998-08-02
13,	JORDAN,	4,	1998-08-02
14,	KENYA,	0,	1998-08-02
15,	MOROCCO,	0,	1998-08-02
16,	MOZAMBIQUE,	0,	1998-08-02
17,	PERU,	1,	1998-08-02
18,	CHINA,	2,	1998-08-02
19,	ROMANIA,	3,	1998-08-02
20,	SAUDI ARABIA,	4,	1998-08-02
21,	VIETNAM,	2,	1998-08-02
22,	UNITED KINGDOM,	3,	1998-08-02
23,	UNITED STATES,	5,	2022-05-09
24,	MEXICO,	5,	2022-05-09
25,	AUSTRALIA,	2,	2022-05-09
26,	NEW ZEALAND,	2,	2022-05-09
27,	SOUTH KOREA,	2,	2022-05-09
28,	BELGIUM,	3,	2022-05-09
29,	SWEDEN,	3,	2022-05-09
30,	SPAIN,	3,	2022-05-09
