Id,Doctor_Id,Hospital_Affiliations
1,1,Tewksbury Hospital
2,1,Private Practice
3,2,Private Office
4,2,People Care Clinic
5,2,Vinfen Corporation
6,3,Mount Auburn Hospital
7,3,Brigham & Women's Hospital
8,3,Private Practice
9,3,Beth Israel Deaconess Medical Center
10,4,Quest Diagnostics
11,4,Inc.
12,5,Cambridge Health Alliance - Somerville Campus
13,5,Cambridge Health Alliance - Cambridge Campus
14,6,Cambridge Health Alliance
15,7,Private Office
16,8,Lahey Hospital & Medical Center
17,8,Part of Beth Israel Lahey Health
18,9,Cambridge Health Alliance - Somerville Campus
19,10,Lahey Clinic
20,11,Lahey Clinic
21,12,Mental Health Clinic
22,12,Other
23,13,Lahey Clinic
24,13,Lahey Clinic
25,14,Cape Cod Hospital
26,14,Lahey Clinic
27,15,Lahey Clinic
28,16,Lahey Clinic
29,16,Newton-Wellesley Hospital
30,17,Beth Israel Deaconess Medical Center
31,18,Mount Auburn Hospital
32,18,Children's Hospital Boston
33,18,Massachusetts General Hospital
34,18,Brigham & Women's Hospital
35,18,Beth Israel Deaconess Medical Center
36,18,Cambridge Public Hlth Commission (The)
37,18,Floating Hospital
38,18,TUFTS-NEMC
39,19,South Shore Hospital
40,19,South Shore Hospital
41,19,Milton Hospital
42,20,Cambridge Health Alliance - Cambridge Campus
43,21,Cambridge Health Alliance
44,22,Lahey Hospital & Medical Center
45,22,Part of Beth Israel Lahey Health
46,22,Winchester Hospital
47,22,Beverly Hospital
48,23,Massachusetts General Hospital
49,24,Lahey Clinic
50,25,Lahey Clinic
51,26,Lahey Clinic
52,27,Cambridge Health Alliance - Whidden Campus
53,27,Cambridge Health Alliance
54,28,Cambridge Health Alliance - Cambridge Campus
55,29,Lahey Clinic
56,29,Harvard Vanguard Medical Associates
57,29,Lahey Clinic
58,30,Cambridge Health Alliance
59,30,Private Office
60,30,Cambridge Health Alliance
61,31,Lahey Clinic
62,31,Lahey Clinic
63,32,Harvard University Health Services
64,33,Lahey Clinic
65,33,Lahey Clinic
66,34,Harvard University Health Services
67,35,Cambridge Health Alliance
