PID,Name
167/4350,Ben Mildenhall
169/4719,Pratul P. Srinivasan
88/6919,Ravi Ramamoorthi
43/7940,Ian J. Goodfellow
33/8167,Yang You
11/2494,Xudong Jiang
29/331,David Hsu
h/WynneHsu,Wynne Hsu
l/MongLiLee,Mong-Li Lee
86/1498,Wee Sun Lee
16/3956,Tze-Yun Leong
00/3379,Divesh Aggarwal
06/4578,Harold Soh
33/1903,Xiaokui Xiao
26/3118,Li Mo
k/AlexChiChungKot,Alex ChiChung Kot
40/2499,Lihua Xie
19/5809-1,Yong Liang Guan 0001
227/9507,Josep Pou
67/4562,Changyun Wen
s/PNSuganthan,Ponnuthurai N. Suganthan
138/4965,Yi-Jun Chang
o/BengChinOoi,Beng Chin Ooi
137/7835,Umang Mathur 0001
97/3037,Hwee Tou Ng
215/4346,Yuanfu Luo
215/4265,Panpan Cai
254/0864,Yiyuan Lee
35/573-6,Xiao Ma 0006
85/6463,Bo Ai
28/2073,Wei Gao
302/0900,Vinay
27/870,Yiqing Xu
290/6171,Danielle Currey
09/9427-1,Raheel Ahmed
79/7823,Archana Venkataraman
199/8865,Jeff Craley
154/9692,Péter Karkus
164/8455,Shaojun Cai
15/10073,Malika Meghjani
87/2834,Tao Bai
47/2026-7,Jun Zhao 0007
162/8180,Jinlin Zhu
55/7737,Shoudong Han
199/3381,Jiefeng Chen 0001
50/3402-26,Bo Li 0026
121/0867,Haoliang Li
58/9145-1,Shiqi Wang 0001
191/2619,Renjie Wan
152/9384,Mauricio Perez
95/3736-36,Jun Liu 0036
250/6021,Rizhao Cai
43/3166-54,Zhi Li 0054
39/737,Yongjian Hu
43/1230,Qiang Xu
45/6145,Qian Xiao
54/2339,Shunfeng Yang
06/6174,Yu Jin
124/8377,Hongjie Jia
84/10630,Remus Teodorescu
87/1024,Frede Blaabjerg
211/0499,Zhongbao Wei
118/1088,Zhongyi Quan
205/4902,Jingda Wu
37/4190-9,Yang Li 0009
06/5514,Hao Zhong
306/2946,Gaowen Liang
215/0918,Hossein Dehghani Tafti
233/2831,Glen G. Farivar
140/9397,Christopher David Townsend
304/9538,Yinghui Chang
142/5239,Weikang Wu
316/1640,Bingrui Guo
147/4317,Hongyin Luo
34/2700,Xiaojie Liu
316/1664,Bijing Liu
316/1347,Kairong Zhao
14/1570,Shan He
73/2252,Lin Li
56/2415,Donghui Guo
258/4466,Chaoyu Gong
65/7816,Zhi-gang Su
00/7816,Pei-hong Wang
312/7327,Kai You
175/3324-48,Hao Chen 0048
88/4611,Jiang Long
w/WeiWang16,Wei Wang 0016
31/1301,Jiangshuai Huang
25/6209,Jinhu Lü
96/11226,Zhirong Zhang
72/2621-4,Kai Zhao 0004
06/5965,Yongduan Song
139/5147,Xinyao Li
52/3645-1,Xiao-Kang Liu 0001
155/2490,Yihan Lin
219/8709,Jiawei Sun
13/5353,Guoqi Li
78/3245,Gaoxi Xiao
96/755-3,Lei Deng 0003
24/5927,Harry Eugene Stanley
117/5965,Siqiang Luo
149/1342,Zichen Zhu
56/2998,Yin Yang
268/2072,Chunbo Li
k/BenKao,Ben Kao
300/4385,Ergute Bao
169/4023,Yizheng Zhu
328/5980,Benjamin Tan
85/2357,Khin Mi Mi Aung
204/3387,Renchi Yang
147/1237,Jieming Shi
56/2998-1,Yin Yang 0001
b/SSBhowmick,Sourav S. Bhowmick
32/5712,Juncheng Liu
37/548,Rong-Hua Li
315/6576,Chengkun Zhao
61/591,Qian Wu
118/4514,Deyu Lin
67/2010-1,Zhiqiang Zhang 0001
33/1685,Yujie Zhang
23/7909,Linghe Kong
299/4498,Yihang Xie
66/5501,Xiaobei Liu
94/2651,Kah Chan Teh
60/7006,Yujie Liu
45/8436,David González G.
244/8966,Shaoyang Wang
01/753,Chau Yuen
31/2597-1,Wei Ni 0001
77/4591,Tiejun Lv
188/6146,Matthew Tancik
30/9988,Jonathan T. Barron
38/5510,Ren Ng
141/3795,Silvia Tozza
205/3155,Dizhong Zhu
84/1121,William A. P. Smith
h/EdwinRHancock,Edwin R. Hancock
118/5807,Shilin Zhu
154/0366,Zexiang Xu
202/9730,Tiancheng Sun
40/8151,Alexandr Kuznetsov
99/235,Mark Meyer
91/3454,Henrik Wann Jensen
09/4945-1,Hao Su 0001
299/1264,Mohammad Sina Nabizadeh
46/950-2,Sebastian Brandt 0002
213/3179,Jan Grebík
53/6818,Christoph Grunau
204/8692,Václav Rozhon
95/11225,Zoltán Vidnyánszky
69/2574,Hsin-Hao Su
198/0655,Shunhua Jiang
153/1197,Alkida Balliu
153/1117,Dennis Olivetti
228/6934,Jan Studený
80/1772,Jukka Suomela
77/888,Seth Pettie
123/4694,Thatchaphol Saranurak
142/3143,Hengjie Zhang
33/5673,Mohsen Ghaffari 0001
a/DJAbadi,Daniel Abadi
a/AnastassiaAilamaki,Anastasia Ailamaki
a/DavidGAndersen,David G. Andersen
47/8816,Peter Bailis
b/MagdalenaBalazinska,Magdalena Balazinska
b/PhilipABernstein,Philip A. Bernstein
b/PeterABoncz,Peter A. Boncz
c/SurajitChaudhuri,Surajit Chaudhuri
16/4915,Alvin Cheung
d/AnHaiDoan,AnHai Doan
d/XinLunaDong,Luna Dong
f/MJFranklin,Michael J. Franklin
f/JulianaFreire,Juliana Freire
h/AlonYHalevy,Alon Y. Halevy
h/JosephMHellerstein,Joseph M. Hellerstein
11/4605,Feng Xie
39/10551,Han Yuan
178/9973,Yilin Ning
