,Rates
AUD,1.2970883369
BGN,1.6086527389
BRL,5.4091955914
CAD,1.2714262214
CHF,0.8860832374000001
CNY,6.4831386741
CZK,21.5101167955
DKK,6.1197565389
EUR,0.8225037013000001
GBP,0.7323984208000001
HKD,7.7525086363
HRK,6.2226517519
HUF,294.13554861
IDR,14097.9026155618
ILS,3.2811317651
INR,73.0111860503
ISK,129.1330810989
JPY,103.7917420628
KRW,1105.839776279
MXN,19.9329659483
MYR,4.0430169436
NOK,8.497121237
NZD,1.3937325218
PHP,48.0704063168
PLN,3.7329330482
RON,4.00888304
RUB,74.9308274387
SEK,8.2920710643
SGD,1.3282612272
THB,30.0098700444
TRY,7.4185721336
USD,1.0
ZAR,15.118440533
