,0
248/LC08_L1GT_001248_20130910_20170502_01_T2/LC08_L1GT_001248_20130910_20170502_01_T2_ANG.txt,114.38
248/LC08_L1GT_001248_20130910_20170502_01_T2/LC08_L1GT_001248_20130910_20170502_01_T2_B1.TIF,61819.95
248/LC08_L1GT_001248_20130910_20170502_01_T2/LC08_L1GT_001248_20130910_20170502_01_T2_B10.TIF,55278.36
248/LC08_L1GT_001248_20130910_20170502_01_T2/LC08_L1GT_001248_20130910_20170502_01_T2_B3.TIF,62732.88
248/LC08_L1GT_001248_20130910_20170502_01_T2/LC08_L1GT_001248_20130910_20170502_01_T2_B4.TIF,64259.59
248/LC08_L1GT_001248_20130910_20170502_01_T2/LC08_L1GT_001248_20130910_20170502_01_T2_B5.TIF,66223.82
248/LC08_L1GT_001248_20130910_20170502_01_T2/LC08_L1GT_001248_20130910_20170502_01_T2_B6.TIF,67571.4
248/LC08_L1GT_001248_20130910_20170502_01_T2/LC08_L1GT_001248_20130910_20170502_01_T2_B7.TIF,68617.28
248/LC08_L1GT_001248_20130910_20170502_01_T2/LC08_L1GT_001248_20130910_20170502_01_T2_B8.TIF,242687.22
248/LC08_L1GT_001248_20130910_20170502_01_T2/LC08_L1GT_001248_20130910_20170502_01_T2_B9.TIF,57321.59
248/LC08_L1GT_001248_20130910_20170502_01_T2/LC08_L1GT_001248_20130910_20170502_01_T2_BQA.TIF,3678.51
248/LC08_L1GT_001248_20130910_20170502_01_T2/LC08_L1GT_001248_20130910_20170502_01_T2_MTL.txt,8.25
248/LC08_L1GT_001248_20130926_20170501_01_T2/LC08_L1GT_001248_20130926_20170501_01_T2_ANG.txt,114.5
248/LC08_L1GT_001248_20130926_20170501_01_T2/LC08_L1GT_001248_20130926_20170501_01_T2_B1.TIF,50289.31
248/LC08_L1GT_001248_20130926_20170501_01_T2/LC08_L1GT_001248_20130926_20170501_01_T2_B10.TIF,43790.28
248/LC08_L1GT_001248_20130926_20170501_01_T2/LC08_L1GT_001248_20130926_20170501_01_T2_B11.TIF,42612.97
248/LC08_L1GT_001248_20130926_20170501_01_T2/LC08_L1GT_001248_20130926_20170501_01_T2_B2.TIF,47965.68
248/LC08_L1GT_001248_20130926_20170501_01_T2/LC08_L1GT_001248_20130926_20170501_01_T2_B3.TIF,47817.47
248/LC08_L1GT_001248_20130926_20170501_01_T2/LC08_L1GT_001248_20130926_20170501_01_T2_B4.TIF,50659.05
248/LC08_L1GT_001248_20130926_20170501_01_T2/LC08_L1GT_001248_20130926_20170501_01_T2_B5.TIF,53567.96
248/LC08_L1GT_001248_20130926_20170501_01_T2/LC08_L1GT_001248_20130926_20170501_01_T2_B6.TIF,51281.09
248/LC08_L1GT_001248_20130926_20170501_01_T2/LC08_L1GT_001248_20130926_20170501_01_T2_B7.TIF,50035.66
248/LC08_L1GT_001248_20130926_20170501_01_T2/LC08_L1GT_001248_20130926_20170501_01_T2_B9.TIF,45501.12
248/LC08_L1GT_001248_20130926_20170501_01_T2/LC08_L1GT_001248_20130926_20170501_01_T2_BQA.TIF,3380.38
248/LC08_L1GT_001248_20130926_20170501_01_T2/LC08_L1GT_001248_20130926_20170501_01_T2_MTL.txt,8.25
248/LC08_L1GT_001248_20140828_20170420_01_T2/LC08_L1GT_001248_20140828_20170420_01_T2_ANG.txt,114.5
248/LC08_L1GT_001248_20140828_20170420_01_T2/LC08_L1GT_001248_20140828_20170420_01_T2_B1.TIF,64846.14
248/LC08_L1GT_001248_20140828_20170420_01_T2/LC08_L1GT_001248_20140828_20170420_01_T2_B10.TIF,46898.92
248/LC08_L1GT_001248_20140828_20170420_01_T2/LC08_L1GT_001248_20140828_20170420_01_T2_B11.TIF,45716.24
248/LC08_L1GT_001248_20140828_20170420_01_T2/LC08_L1GT_001248_20140828_20170420_01_T2_B2.TIF,65005.81
248/LC08_L1GT_001248_20140828_20170420_01_T2/LC08_L1GT_001248_20140828_20170420_01_T2_B3.TIF,65353.29
248/LC08_L1GT_001248_20140828_20170420_01_T2/LC08_L1GT_001248_20140828_20170420_01_T2_B4.TIF,66971.17
cabb.png,22.84
cat.png,502.34
file/a,19.53
file/asdf.py,0.06
file/b,19.53
file/c,19.53
file/d,195.31
file/e,195.31
file/f,1953.13
file/g,19531.25
