member_id,membership_first_purchase_dt,is_blacklist_member
4cab4b27702f8814109a6a960d8f869f,2021-02-25,
1b2ad7fe6502ba14528c3901629b995c,2021-03-04,
451b48aa46dc9ef2bff872c7a82cc433,2021-03-19,
d93b2d5629c962eb8fb36c7ccf424028,2021-03-31,
fd1b370a8dfd0fdb45067452c30b81f7,2021-03-12,
15449b88ab8af032502583e08b7079bb,,1
03e4e4a7b7e50e370971958935394b4c,2021-03-09,
914a0128595aa657bd763b996ec70fc6,2021-04-07,
f1b550bfb2d2864c9ba471acc94d459f,2021-04-05,
4edc7d212ba7676032f7b032b5473955,2021-04-19,
c2081be778a68ca26f2df73a96fa6887,2021-04-27,
a0d014cfb5354d68c5d59301f58d6e02,2021-04-19,
f74904c3343a23bf416aff75c4930f8c,2021-04-30,
110e722474d43b17ca73080b63e2a361,2021-05-12,
5654d9fe9f29ee1bd79634d6b44a2119,2021-03-05,
0ddd42ca475c1cf941c01ecc040529d6,2021-05-08,
8f8a6110e10582e19f51b0fb8b87c37b,2021-05-13,
fd6cc115f84147d8e7d3bca0d2cb0b32,2021-04-30,
a188a0fd9d71d47cb3000f1c9ad4ac7f,2021-05-03,
2ab9839f9c88cc423079967bdd3159ed,2021-05-07,
32a04847ef63612bb8e5f3155a6da864,2021-05-05,
0457065f3471a60f88c4f5718aae19cb,2021-05-15,
6870c79c874c3945dc9a02473761ff57,,1
d6be118a25b7c36ca6b383ab1b0faf18,2021-05-11,
55cacdb470afbc58605ec69f4ca36108,2021-05-20,
1b42fea696e7a34af47e54f40fca9d0b,2021-05-13,
45d26ec6e7b0e7517a8dd1f3ec7eb6a0,2021-05-22,
be72b9254a706aa9d574bd8eeb945dc8,2021-04-18,
3d0a4795b601c563b0fa0dd861dd86d9,,1
131ad068fad521d29ab8bbfe17f475a6,2021-04-06,
9d7817948f60d7c5b97677745960d68b,,1
048cfefe5f52044433db46172ae2b54d,2021-05-30,
c753d53b6f29c1327f7a9ebfa872f658,2021-05-24,
1a29db0c342ca7719220679ca1c90462,2021-03-05,
b6194a9f233f69acf18ba57356264749,2021-04-30,
c9d9926bd543ba5a8368765cb0b066dc,2021-04-06,
8b774887da695495fbc0d48f6b48c155,2021-05-24,
0b5155ff51063ae1e24ef4dd8409fa35,2021-04-22,
90e9895f8f6a49d2e34db84b85603491,,1
4bd40534e43a0cd6e1d832a514c91540,2021-03-05,
0390fc60dc895f3c467e6641fdbff97e,2021-04-14,
9140a81940d2a4dff5f8e933ce495d24,2021-04-07,
99b51c8f59485cdba869a010ad14386a,2021-03-19,
b8907549b68a24d94e1717cd38a05ab6,2021-04-07,
6a856217825f5bfb2a46e21dc60dacb9,2021-04-16,
59edc05e168bbe5980468c460981381a,2021-05-21,
510df70d128ebbfa46e8b553a71c41d8,,1
0a8a9a6d404a50255f9ca614495c78a0,2021-04-23,
c40255af50b9f9558ba22a0496cdc36d,2021-06-26,
3955e29b6de8628d2e324321b6caae8d,2021-05-26,
293050765a298edac7927c05877b1866,2021-06-06,
639bf2a78376c3e92990dff05ef58047,2021-05-25,
f0290603e39c216b94c606ff0c9a116f,2021-06-08,
432c6c05bbc6889968d7648488ae90c3,2021-06-24,
1dd4a5a62f527a36bdbac4ba9b8e06f8,2021-06-15,
2c70440c4aba00342f24c7d3e0a93eb4,2021-06-25,
e609b41e15e13607eb7b9a857b5d0424,2021-07-09,
f06cae2b578efda5a6d793297200be82,2021-05-12,
2bf55ccbec541a52535ea5b995c23990,2021-07-12,
eec1c4ce807024bad19ff3815fd27fe8,2021-05-25,
4a8138325dbb42b8defe37c00e024fd7,2021-05-24,
3faccca8ac5f71f601c970dedd7b6f76,2021-06-16,
11814b4fdfe19318a49b25961c32aa01,2021-06-04,
dbbad333eac4e14ce0b0cbc83d0b933f,2021-07-13,
298d7b5e05773eed09e4600a5d2a56db,2021-06-08,
8135fa4e9ebf353ddea0288a41f65da8,2021-06-25,
bb69a2ad2d78061d271eccae6e9b7422,2021-06-30,
6628d15424151535098f50bbbb870276,2021-07-15,
90d94c96e96611c1b85f82e954c41ad8,,1
4cf735afeb4fef28d82373d245aa499b,,1
190c14d29658072651f43c6244950b2d,,1
11d51417bb2893e872af7359f83fe90e,2021-12-23,
27eb46abde07f38d9418310a80e842d0,2021-08-17,
7cfdd3583e1de619cf16c31edf826d49,2021-08-24,
61c1811612d3ac847964b906f76c0efa,2021-08-20,
84e2a0feec7c79a16501237f401e713f,2022-01-27,
e24a8d86c2072d1fc3fda41624dc818e,2022-01-11,
03f9974128d9fe7542841167c0cb594e,,1
84fcb1f7b27a6d70f1e79892b8e2ee9a,,1
